,x,y,sdi_cat,Country Code,pred,ineff,year
375,4.653960350157523,-4.497565186693652,high,LSO,-3.2135084883312914,1.2788987189792727,2009
376,5.003946305945459,-4.3130875117424505,medium,ZWE,-3.0403334333964898,1.2701129758919367,2009
377,5.087596335232384,-3.4667190443576477,high,MAR,-2.9989429984899316,0.46433984316387117,2009
378,5.204006687076795,-3.354190431620929,high,DZA,-2.9413426890469365,0.41208122274770936,2009
379,5.351858133476067,-2.9515206344239435,high,TUN,-2.8681853924757723,0.08282215325974511,2009
380,5.66988092298052,-2.7101652295185663,high,MUS,-2.7108278504388115,0.0,2009
381,5.673323267171493,-3.9787613614038166,high,GAB,-2.7091245890292495,1.263029282863177,2009
382,5.932245187448011,-4.160444738341531,high,GNQ,-2.5810114890229787,1.5671699443218226,2009
383,6.082218910376446,-2.616226828646978,high,SYC,-2.5068060289069605,0.10906360177129919,2009
384,6.133398042996649,-3.9774245290719077,high,NAM,-2.4814832491549716,1.4893718585257871,2009
385,6.22455842927536,-3.996861897613979,high,BWA,-2.4363784326580005,1.5514143996383218,2009
386,6.261491684321042,-4.080447240237524,high,ZAF,-2.418104468742666,1.6559695204320535,2009
387,1.6094379124341003,-4.823252181212251,low,SOM,-4.83699620913266,0.0,2010
388,3.091042453358316,-4.2545582533651505,medium,ERI,-4.058776953492041,0.19433088943568866,2010
389,3.1780538303479458,-4.379261164283178,medium,MDG,-4.013074102951809,0.3645382103680291,2010
390,3.1780538303479458,-4.478010905409673,low,ETH,-4.013074102951809,0.46331314214663816,2010
391,3.258096538021482,-4.971534491086799,low,NER,-3.971031564347918,0.996033786987279,2010
392,3.295836866004329,-5.0655759338255555,low,CAF,-3.951208409618339,1.1093548224028944,2010
393,3.332204510175204,-4.5418912765398565,medium,MWI,-3.932106260444561,0.6081788009889384,2010
394,3.332204510175204,-4.669424419844862,low,MOZ,-3.932106260444561,0.7347406377605675,2010
395,3.4339872044851463,-4.9320513752061075,low,BFA,-3.8786447856418587,1.049315632584645,2010
396,3.4965075614664802,-4.883799530870318,low,GIN,-3.845805904182469,1.0346484193686274,2010
397,3.4965075614664802,-4.590827438782772,low,BDI,-3.845805904182469,0.7421486436914646,2010
398,3.5263605246161616,-4.726761135661867,low,BEN,-3.830125606499422,0.8947345451188692,2010
399,3.5553480614894135,-4.529953490196638,medium,TGO,-3.8148998758916357,0.7121522613331743,2010
400,3.5553480614894135,-4.486194998751315,low,LBR,-3.8148998758916357,0.6691429707470112,2010
401,3.6635616461296463,-4.9919592032195785,low,TCD,-3.7580605998324486,1.2294400628161435,2010
402,3.713572066704308,-5.020196539364454,low,MLI,-3.7317925896437396,1.2853049026349443,2010
403,3.784189633918261,-4.396098152352823,medium,ZMB,-3.694700666133734,0.6988675160905214,2010
404,3.8066624897703196,-4.477218796150681,medium,UGA,-3.68289678524062,0.792579165152155,2010
405,3.871201010907891,-4.627857863208832,medium,CMR,-3.6489978924081248,0.9747336208873908,2010
